// Describes mapping from Unicode Code pointer to Character code in cp862 (['Hebrew'])
// [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0x0 0x80 0x0
0xA0 0x1 0xFF
0xA1 0x1 0xAD
0xA2 0x2 0x9B
0xA5 0x1 0x9D
0xAA 0x1 0xA6
0xAB 0x1 0xAE
0xAC 0x1 0xAA
0xB0 0x1 0xF8
0xB1 0x1 0xF1
0xB2 0x1 0xFD
0xB5 0x1 0xE6
0xB7 0x1 0xFA
0xBA 0x1 0xA7
0xBB 0x1 0xAF
0xBC 0x1 0xAC
0xBD 0x1 0xAB
0xBF 0x1 0xA8
0xD1 0x1 0xA5
0xDF 0x1 0xE1
0xE1 0x1 0xA0
0xED 0x1 0xA1
0xF1 0x1 0xA4
0xF3 0x1 0xA2
0xF7 0x1 0xF6
0xFA 0x1 0xA3
0x192 0x1 0x9F
0x393 0x1 0xE2
0x398 0x1 0xE9
0x3A3 0x1 0xE4
0x3A6 0x1 0xE8
0x3A9 0x1 0xEA
0x3B1 0x1 0xE0
0x3B4 0x1 0xEB
0x3B5 0x1 0xEE
0x3C0 0x1 0xE3
0x3C3 0x1 0xE5
0x3C4 0x1 0xE7
0x3C6 0x1 0xED
0x5D0 0x1B 0x80
0x207F 0x1 0xFC
0x20A7 0x1 0x9E
0x2219 0x1 0xF9
0x221A 0x1 0xFB
0x221E 0x1 0xEC
0x2229 0x1 0xEF
0x2248 0x1 0xF7
0x2261 0x1 0xF0
0x2264 0x1 0xF3
0x2265 0x1 0xF2
0x2310 0x1 0xA9
0x2320 0x2 0xF4
0x2500 0x1 0xC4
0x2502 0x1 0xB3
0x250C 0x1 0xDA
0x2510 0x1 0xBF
0x2514 0x1 0xC0
0x2518 0x1 0xD9
0x251C 0x1 0xC3
0x2524 0x1 0xB4
0x252C 0x1 0xC2
0x2534 0x1 0xC1
0x253C 0x1 0xC5
0x2550 0x1 0xCD
0x2551 0x1 0xBA
0x2552 0x2 0xD5
0x2554 0x1 0xC9
0x2555 0x1 0xB8
0x2556 0x1 0xB7
0x2557 0x1 0xBB
0x2558 0x1 0xD4
0x2559 0x1 0xD3
0x255A 0x1 0xC8
0x255B 0x1 0xBE
0x255C 0x1 0xBD
0x255D 0x1 0xBC
0x255E 0x2 0xC6
0x2560 0x1 0xCC
0x2561 0x2 0xB5
0x2563 0x1 0xB9
0x2564 0x2 0xD1
0x2566 0x1 0xCB
0x2567 0x2 0xCF
0x2569 0x1 0xCA
0x256A 0x1 0xD8
0x256B 0x1 0xD7
0x256C 0x1 0xCE
0x2580 0x1 0xDF
0x2584 0x1 0xDC
0x2588 0x1 0xDB
0x258C 0x1 0xDD
0x2590 0x1 0xDE
0x2591 0x3 0xB0
0x25A0 0x1 0xFE
